Ticker,Name,Sector,Industry,ROCE,ROCEAvg,DE,RevGrowth,EarnGrowth,CFOQuality,FCFMargin,GrossMargin,OpMargin,NetMargin,PE,PEMedian,EarnYield,BondYield,Price,EntryPrice,QualityPass,NetDebtEBITDA,FCFtoNI,FCFYield,Hurdle,FCFFloor,FCFFairValue,ImpliedGrowth,SustGrowth,ReverseDCF,RSI14,SMA200,PriceVsSma200,TechnicalReady,MktCap,Score,Verdict,Tags,ROCEHistory,DataQuality
KEI.NS,KEI Industries Limited,Industrials,Electrical Equipment & Parts,19.1%,22.4% (4yr),0.04x,19.1% (3yr),22.8% (3yr),0.62x,0.0%,23.0%,10.1%,7.7%,46.5x,64.9x,2.1%,7.0%,₹4188.00,₹1286.29,N,-1.17x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,19.1%,—,22.6,₹4118.78,above,Not yet,₹40038 Cr,62,WATCH,"Steady ROCE (4yr), Near Zero Debt, Strong Growth",TTM: 19%  |  2025: 16%  |  2024: 25%  |  2023: 25%  |  2022: 25%,✓ Filing 2025-03-31 (11mo old)
AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,17.3%,34.1% (4yr),0.20x,47.1% (3yr),85.1% (3yr),0.31x,0.0%,98.7%,78.8%,110.1%,11.5x,12.5x,8.7%,7.0%,₹492.20,₹536.66,N,0.51x,0.00x (reinvesting),0.0%,10.0%,—,—,—,17.3%,—,51.8,₹558.16,below,Not yet,₹41799 Cr,61,WATCH,"Consistent ROCE (4yr), Low Debt, Strong Growth, ⚠ Accruals Risk",TTM: 17%  |  2025: 28%  |  2024: 56%  |  2023: 26%  |  2022: 27%,✓ Filing 2025-03-31 (11mo old)
NBCC.NS,NBCC (India) Limited,Industrials,Engineering & Construction,30.4%,19.3% (4yr),0.00x,15.4% (3yr),34.1% (3yr),0.25x,0.0%,10.3%,6.6%,5.0%,34.7x,60.7x,2.9%,7.0%,₹83.91,₹34.57,Y,-8.25x,0.00x (reinvesting),0.0%,10.0%,—,—,—,30.4%,—,35.4,₹108.39,below,Not yet,₹22656 Cr,61,WATCH,"High ROCE, Near Zero Debt, Strong Growth, ⚠ Accruals Risk, Below Historical P/E, Entry Quality Pass",TTM: 30%  |  2025: 29%  |  2024: 20%  |  2023: 17%  |  2022: 11%,✓ Filing 2025-03-31 (11mo old)
TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,50.2%,31.4% (4yr),2.23x,28.0% (3yr),15.4% (3yr),0.15x,0.0%,21.3%,9.9%,6.3%,76.3x,105.0x,1.3%,7.0%,₹4106.60,₹768.57,N,3.34x,0.00x (reinvesting),0.0%,10.0%,—,—,—,50.2%,—,35.6,₹3774.93,above,Not yet,₹3.6L Cr,61,WATCH,"Elite ROCE, Consistent ROCE (4yr), High Debt, Strong Growth, ⚠ Accruals Risk, Below Historical P/E",TTM: 50%  |  2025: 34%  |  2024: 31%  |  2023: 33%  |  2022: 28%,✓ Filing 2025-03-31 (11mo old)
MPHASIS.NS,Mphasis Limited,Technology,Information Technology Services,22.3%,21.6% (4yr),0.24x,6.0% (3yr),6.0% (3yr),1.15x,10.9%,43.1%,15.2%,11.7%,22.2x,31.3x,4.5%,7.0%,₹2091.10,₹1347.29,Y,-0.21x,0.93x,4.3%,10.0%,₹906  (10× FCF),₹1746 – ₹2175  (20× – 24× FCF),5.5%,1.6%,Not Buy,26.9,₹2715.11,below,Ready,₹39870 Cr,60,WATCH,"Good ROCE, Low Debt, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 22%  |  2025: 21%  |  2024: 19%  |  2023: 24%  |  2022: 23%,✓ Filing 2025-03-31 (11mo old)
HYUNDAI.NS,HYUNDAI MOTOR INDIA LTD,Consumer Cyclical,Auto Manufacturers,29.9%,32.3% (4yr),0.05x,13.5% (3yr),24.8% (3yr),1.31x,0.0%,28.7%,8.1%,8.3%,27.4x,33.1x,3.6%,7.0%,₹1951.00,₹1017.29,Y,-0.64x,0.00x (reinvesting),0.0%,10.0%,—,—,—,29.9%,—,26.6,₹2265.28,below,Ready,₹1.6L Cr,60,WATCH,"Good ROCE, Steady ROCE (4yr), Near Zero Debt, Strong Growth, High Cash Quality, Volatile Industry, Below Historical P/E, Entry Quality Pass",TTM: 30%  |  2025: 36%  |  2024: 52%  |  2023: 24%  |  2022: 17%,✓ Filing 2025-03-31 (11mo old)
TATATECH.NS,Tata Technologies Limited,Technology,Information Technology Services,15.1%,22.4% (4yr),0.07x,13.5% (3yr),15.7% (3yr),0.56x,0.0%,25.1%,11.5%,10.2%,41.3x,52.4x,2.4%,7.0%,₹539.65,₹186.57,N,-1.03x,0.00x (reinvesting),0.0%,10.0%,—,—,—,15.1%,—,33.7,₹670.98,below,Ready,₹21909 Cr,60,WATCH,"Steady ROCE (4yr), Near Zero Debt, Strong Growth, ⚠ Accruals Risk",TTM: 15%  |  2025: 20%  |  2024: 24%  |  2023: 23%  |  2022: 22%,✓ Filing 2025-03-31 (11mo old)
LODHA.NS,Lodha Developers Limited,Real Estate,Real Estate - Development,20.9%,18.0% (4yr),0.45x,14.3% (3yr),32.0% (3yr),1.47x,0.0%,41.2%,28.2%,20.4%,23.8x,45.0x,4.2%,7.0%,₹796.90,₹478.14,N,1.29x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,20.9%,—,11.5,₹1172.24,below,Ready,₹79590 Cr,60,WATCH,"Good ROCE, Modest Debt, Strong Growth, High Cash Quality, Below Historical P/E",TTM: 21%  |  2025: 17%  |  2024: 21%  |  2023: 13%  |  2022: 21%,✓ Filing 2025-03-31 (11mo old)
HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,0.3%,44.9% (4yr),0.10x,11.0% (3yr),8.8% (3yr),1.30x,12.9%,34.3%,18.6%,13.0%,22.0x,25.1x,4.5%,7.0%,₹1333.70,₹866.86,N,-0.95x,0.99x,0.1%,10.0%,₹8  (10× FCF),₹11 – ₹13  (14× – 17× FCF),9.9%,0.0%,Not Buy,36.7,₹1537.35,below,Not yet,₹3.6L Cr,60,WATCH,"Consistent ROCE (4yr), Near Zero Debt, Partial Growth, High Cash Quality",TTM: 0%  |  2025: 47%  |  2024: 45%  |  2023: 46%  |  2022: 41%,✓ Filing 2025-03-31 (11mo old)
COROMANDEL.NS,Coromandel International Limited,Basic Materials,Agricultural Inputs,19.0%,27.0% (4yr),0.12x,9.0% (3yr),10.6% (3yr),0.90x,0.0%,24.6%,7.4%,7.9%,23.5x,32.2x,4.3%,7.0%,₹1911.00,₹1160.29,N,-0.91x,0.00x ⚠ accruals?,0.0%,10.0%,—,—,—,19.0%,—,24.9,₹2274.37,below,Ready,₹56321 Cr,60,WATCH,"Consistent ROCE (4yr), Low Debt, Partial Growth",TTM: 19%  |  2025: 20%  |  2024: 22%  |  2023: 35%  |  2022: 31%,✓ Filing 2025-03-31 (11mo old)
